momentum_p,rho_p_initial,rho_p_final
-6.200770e+00,8.251553e-31,5.728594e-06
-6.122279e+00,4.242414e-31,1.888695e-05
-6.043788e+00,4.830360e-31,3.661199e-05
-5.965298e+00,3.490704e-31,5.474354e-06
-5.886807e+00,3.856118e-31,3.591812e-04
-5.808316e+00,4.308697e-31,4.132444e-03
-5.729825e+00,3.269309e-31,1.685047e-02
-5.651335e+00,4.216436e-31,4.702660e-02
-5.572844e+00,3.381223e-31,1.082742e-01
-5.494353e+00,2.261800e-31,2.180474e-01
-5.415862e+00,1.921995e-31,3.919956e-01
-5.337372e+00,1.800274e-31,6.341458e-01
-5.258881e+00,1.923904e-31,9.263528e-01
-5.180390e+00,1.554308e-31,1.223899e+00
-5.101899e+00,2.123115e-31,1.463699e+00
-5.023409e+00,1.757108e-31,1.585202e+00
-4.944918e+00,1.892899e-31,1.555060e+00
-4.866427e+00,2.214914e-31,1.381973e+00
-4.787936e+00,8.792725e-32,1.112703e+00
-4.709446e+00,1.549129e-31,8.117205e-01
-4.630955e+00,1.375583e-31,5.365336e-01
-4.552464e+00,6.350523e-32,3.213357e-01
-4.473973e+00,1.717894e-31,1.743800e-01
-4.395483e+00,7.677725e-32,8.574699e-02
-4.316992e+00,7.972351e-32,3.820493e-02
-4.238501e+00,1.412480e-31,1.542461e-02
-4.160010e+00,6.273511e-32,5.642647e-03
-4.081519e+00,6.700056e-32,1.870513e-03
-4.003029e+00,1.037582e-31,5.618104e-04
-3.924538e+00,4.505067e-32,1.529253e-04
-3.846047e+00,8.861803e-32,3.770602e-05
-3.767556e+00,1.536990e-31,8.430354e-06
-3.689066e+00,9.275007e-32,1.705384e-06
-3.610575e+00,7.496758e-32,3.134411e-07
-3.532084e+00,1.104408e-31,5.204495e-08
-3.453593e+00,6.003437e-32,7.794677e-09
-3.375103e+00,6.322249e-32,1.103689e-09
-3.296612e+00,7.800617e-32,1.219459e-10
-3.218121e+00,3.146855e-32,1.594880e-11
-3.139630e+00,5.398504e-32,2.738433e-12
-3.061140e+00,8.903048e-32,4.576387e-14
-2.982649e+00,6.544717e-32,3.474111e-13
-2.904158e+00,7.804670e-32,3.530716e-13
-2.825667e+00,1.618445e-32,3.255155e-13
-2.747177e+00,2.231598e-32,3.391654e-13
-2.668686e+00,3.039338e-32,3.498032e-13
-2.590195e+00,4.334576e-32,3.583385e-13
-2.511704e+00,4.137331e-32,3.672201e-13
-2.433214e+00,6.607377e-32,3.762306e-13
-2.354723e+00,5.060234e-32,3.852172e-13
-2.276232e+00,3.830629e-32,3.941801e-13
-2.197741e+00,7.620336e-32,4.030867e-13
-2.119251e+00,4.138462e-32,4.119279e-13
-2.040760e+00,2.954012e-32,4.206739e-13
-1.962269e+00,5.524893e-32,4.293031e-13
-1.883778e+00,8.012479e-32,4.378013e-13
-1.805287e+00,3.293992e-32,4.461374e-13
-1.726797e+00,1.140449e-32,4.542971e-13
-1.648306e+00,3.433164e-32,4.622618e-13
-1.569815e+00,5.175955e-32,4.700049e-13
-1.491324e+00,1.463958e-32,4.775113e-13
-1.412834e+00,4.487811e-33,4.847650e-13
-1.334343e+00,7.655347e-32,4.917435e-13
-1.255852e+00,2.280201e-32,4.984288e-13
-1.177361e+00,2.978085e-32,5.048074e-13
-1.098871e+00,3.535661e-32,5.108636e-13
-1.020380e+00,5.191063e-32,5.165801e-13
-9.418891e-01,4.178059e-32,5.219419e-13
-8.633984e-01,2.108108e-32,5.269365e-13
-7.849076e-01,3.640540e-32,5.315522e-13
-7.064168e-01,2.973189e-32,5.357772e-13
-6.279261e-01,2.096546e-32,5.396005e-13
-5.494353e-01,1.678362e-32,5.430121e-13
-4.709446e-01,5.747958e-32,5.460035e-13
-3.924538e-01,1.596809e-32,5.485672e-13
-3.139630e-01,3.491202e-32,5.506971e-13
-2.354723e-01,8.263412e-33,5.523879e-13
-1.569815e-01,4.415448e-32,5.536355e-13
-7.849076e-02,6.860181e-33,5.544369e-13
0.000000e+00,2.838172e-32,5.547903e-13
7.849076e-02,2.902297e-32,5.546951e-13
1.569815e-01,2.716422e-32,5.541516e-13
2.354723e-01,2.335845e-32,5.531618e-13
3.139630e-01,2.786470e-32,5.517283e-13
3.924538e-01,2.069517e-32,5.498551e-13
4.709446e-01,2.169833e-32,5.475475e-13
5.494353e-01,7.874608e-33,5.448117e-13
6.279261e-01,2.867966e-32,5.416551e-13
7.064168e-01,1.293221e-32,5.380860e-13
7.849076e-01,6.919105e-33,5.341140e-13
8.633984e-01,1.784219e-32,5.297497e-13
9.418891e-01,1.741587e-32,5.250046e-13
1.020380e+00,2.845025e-32,5.198910e-13
1.098871e+00,2.209788e-32,5.144224e-13
1.177361e+00,7.457356e-33,5.086131e-13
1.255852e+00,1.197586e-32,5.024782e-13
1.334343e+00,1.785824e-32,4.960337e-13
1.412834e+00,3.275739e-32,4.892959e-13
1.491324e+00,1.772927e-32,4.822825e-13
1.569815e+00,2.288641e-32,4.750114e-13
1.648306e+00,1.683128e-32,4.675013e-13
1.726797e+00,4.973289e-33,4.597711e-13
1.805287e+00,1.524832e-32,4.518409e-13
1.883778e+00,2.549447e-32,4.437306e-13
1.962269e+00,5.677281e-32,4.354609e-13
2.040760e+00,9.258843e-31,4.270529e-13
2.119251e+00,2.495290e-29,4.185277e-13
2.197741e+00,8.440689e-28,4.099071e-13
2.276232e+00,2.678075e-26,4.012131e-13
2.354723e+00,7.787729e-25,3.924677e-13
2.433214e+00,2.053847e-23,3.836936e-13
2.511704e+00,4.910150e-22,3.749131e-13
2.590195e+00,1.063727e-20,3.661494e-13
2.668686e+00,2.088124e-19,3.574259e-13
2.747177e+00,3.714264e-18,3.487676e-13
2.825667e+00,5.986593e-17,3.401797e-13
2.904158e+00,8.743332e-16,3.316966e-13
2.982649e+00,1.157083e-14,3.236362e-13
3.061140e+00,1.387531e-13,3.149992e-13
3.139630e+00,1.507686e-12,3.049602e-13
3.218121e+00,1.484464e-11,3.102755e-13
3.296612e+00,1.324399e-10,2.760892e-13
3.375103e+00,1.070677e-09,2.634699e-13
3.453593e+00,7.843109e-09,6.409619e-13
3.532084e+00,5.206052e-08,1.207690e-13
3.610575e+00,3.131260e-07,7.794697e-12
3.689066e+00,1.706555e-06,3.420410e-11
3.767556e+00,8.427750e-06,2.287397e-10
3.846047e+00,3.771320e-05,1.262594e-09
3.924538e+00,1.529205e-04,6.347982e-09
4.003029e+00,5.618601e-04,2.951208e-08
4.081519e+00,1.870601e-03,1.238269e-07
4.160010e+00,5.643187e-03,4.766411e-07
4.238501e+00,1.542617e-02,1.669877e-06
4.316992e+00,3.821046e-02,5.347723e-06
4.395483e+00,8.576236e-02,1.564230e-05
4.473973e+00,1.744221e-01,4.182312e-05
4.552464e+00,3.214377e-01,1.023328e-04
4.630955e+00,5.367628e-01,2.291916e-04
4.709446e+00,8.121915e-01,4.705762e-04
4.787936e+00,1.113589e+00,8.863869e-04
4.866427e+00,1.383508e+00,1.534053e-03
4.944918e+00,1.557502e+00,2.443232e-03
5.023409e+00,1.588789e+00,3.587408e-03
5.101899e+00,1.468568e+00,4.868045e-03
5.180390e+00,1.230021e+00,6.122484e-03
5.258881e+00,9.335146e-01,7.162526e-03
5.337372e+00,6.419780e-01,7.831133e-03
5.415862e+00,4.000457e-01,8.050078e-03
