energy_E,rho_E
2.440978e+02,6.544343e-33
2.458351e+02,6.570322e-33
2.475787e+02,8.757591e-33
2.493283e+02,8.302773e-33
2.510841e+02,8.778573e-33
2.528461e+02,6.939276e-33
2.546143e+02,4.282589e-33
2.563886e+02,3.524546e-33
2.581691e+02,3.126996e-33
2.599557e+02,3.246118e-33
2.617485e+02,3.844903e-33
2.635474e+02,4.472128e-33
2.653526e+02,4.584048e-33
2.671638e+02,6.101711e-33
2.689813e+02,5.412972e-33
2.708049e+02,5.707740e-33
2.726346e+02,3.028416e-33
2.744705e+02,3.578909e-33
2.763126e+02,4.217133e-33
2.781609e+02,3.409925e-33
2.800153e+02,4.610980e-33
2.818758e+02,3.942868e-33
2.837425e+02,4.770820e-33
2.856154e+02,2.655838e-33
2.874945e+02,4.789177e-33
2.893797e+02,4.002906e-33
2.912710e+02,3.070159e-33
2.931686e+02,3.397347e-33
2.950723e+02,2.976587e-33
2.969821e+02,4.893124e-33
2.988981e+02,2.995323e-33
3.008203e+02,5.140565e-33
3.027486e+02,1.232212e-33
3.046831e+02,3.841677e-33
3.066238e+02,2.704438e-33
3.085706e+02,2.721955e-33
3.105235e+02,5.351236e-33
3.124827e+02,2.979234e-33
3.144480e+02,4.083758e-33
3.164194e+02,2.066494e-33
3.183970e+02,1.910329e-33
3.203808e+02,4.719396e-33
3.223708e+02,1.403203e-33
3.243669e+02,3.612301e-33
3.263691e+02,3.830451e-33
3.283775e+02,3.551936e-33
3.303921e+02,2.076689e-33
3.324129e+02,2.451855e-33
3.344398e+02,3.410073e-33
3.364728e+02,2.533778e-33
3.385121e+02,3.710608e-33
3.405574e+02,2.267319e-33
3.426090e+02,4.143576e-33
3.446667e+02,4.163109e-33
3.467306e+02,2.940118e-33
3.488006e+02,4.262270e-33
3.508768e+02,3.727354e-33
3.529591e+02,3.790532e-33
3.550476e+02,2.463485e-33
3.571423e+02,3.834075e-33
3.592431e+02,3.401382e-33
3.613501e+02,3.445632e-33
3.634633e+02,4.729736e-33
3.655826e+02,4.183547e-33
3.677081e+02,2.284597e-33
3.698397e+02,6.791662e-33
3.719775e+02,4.164515e-33
3.741215e+02,3.825277e-33
3.762716e+02,7.273067e-33
3.784279e+02,5.429892e-33
3.805903e+02,5.027044e-33
3.827589e+02,9.977906e-33
3.849337e+02,7.164394e-33
3.871146e+02,6.094700e-33
3.893017e+02,8.220556e-33
3.914949e+02,5.733994e-33
3.936943e+02,8.282106e-33
3.958999e+02,6.985273e-33
3.981116e+02,6.182936e-33
4.003295e+02,8.528040e-33
4.025536e+02,1.079660e-32
4.047838e+02,9.131016e-33
4.070201e+02,7.186875e-33
4.092627e+02,7.105432e-33
4.115114e+02,1.221351e-32
4.137662e+02,1.338710e-32
4.160272e+02,1.099533e-32
4.182944e+02,1.661880e-32
4.205677e+02,2.010209e-32
4.228472e+02,1.316600e-32
4.251329e+02,1.490986e-32
4.274247e+02,1.775249e-32
4.297227e+02,1.902951e-32
4.320268e+02,1.609661e-32
4.343371e+02,1.335674e-32
4.366536e+02,6.290372e-33
4.389762e+02,3.303316e-33
4.413050e+02,1.840441e-32
4.436399e+02,6.506269e-32
4.459810e+02,1.460401e-31
4.483283e+02,2.621466e-31
4.506817e+02,3.583608e-31
4.530413e+02,4.220890e-31
4.554071e+02,4.523954e-31
4.577790e+02,3.954054e-31
4.601570e+02,3.015351e-31
4.625413e+02,2.023466e-31
4.649317e+02,1.132394e-31
4.673282e+02,5.014579e-32
4.697309e+02,1.803354e-32
4.721398e+02,4.288914e-33
4.745548e+02,2.874972e-33
4.769760e+02,6.990390e-33
4.794034e+02,1.503159e-32
4.818369e+02,2.002838e-32
4.842766e+02,1.847891e-32
4.867224e+02,1.682246e-32
4.891744e+02,1.641618e-32
4.916326e+02,1.172540e-32
